,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Hobart,AU,62.6,-42.88,147.33,88,75,5.82
1,Yellowknife,CA,-41.81,62.45,-114.38,64,5,3.36
2,Busselton,AU,68.08,-33.64,115.35,100,0,21.88
3,Raudeberg,NO,27.77,61.99,5.14,80,20,10.29
4,Gueret,FR,37.4,46.17,1.87,69,90,9.17
5,Bethel,US,33.03,60.79,-161.76,100,90,8.05
6,Jamestown,AU,71.23,-33.21,138.6,42,0,6.6
7,Manta,RO,48.55,45.1,24.1,94,44,6.22
8,Angoche,MZ,84.51,-16.23,39.91,98,24,11.3
9,Atuona,PF,79.56,-9.8,-139.03,100,100,17.4
10,Porto Novo,BR,87.8,-23.68,-45.44,45,40,5.82
11,Zhigalovo,RU,-26.33,54.81,105.15,38,24,2.08
12,Ribeira Grande,PT,64.4,38.52,-28.7,82,40,12.75
13,Zarubino,RU,27.18,42.65,131.06,75,0,15.77
14,Kapaa,US,71.06,22.08,-159.32,75,20,10.29
15,Garissa,KE,97.11,-0.46,39.64,26,0,10.8
16,Tiksi,RU,-37.67,71.64,128.87,0,12,2.98
17,Corinto,BR,94.9,-18.36,-44.46,45,0,4.09
18,Aviles,ES,51.8,43.55,-5.92,57,20,2.24
19,Doesburg,NL,41.61,52.02,6.14,75,90,8.05
20,Pangnirtung,CA,8.6,66.15,-65.72,60,75,11.41
21,Mogocha,RU,-33.26,53.73,119.76,0,12,2.68
22,Dikson,RU,-4.73,73.51,80.55,70,32,13.6
23,Barrow,AR,66.73,-38.31,-60.23,86,8,4.59
24,Watsa,CD,92.02,3.04,29.53,34,0,4.25
25,Tanggul,ID,77.76,-8.16,113.45,100,80,2.3
26,Rikitea,PF,81.18,-23.12,-134.97,97,8,6.71
27,Mataura,NZ,45.22,-46.19,168.86,76,8,5.32
28,Trincomalee,LK,78.16,8.58,81.23,85,88,10.25
29,Sao Gabriel da Cachoeira,BR,81.18,-0.13,-67.09,90,44,2.86
30,Cape Town,ZA,71.6,-33.93,18.42,68,75,11.41
31,Sinnamary,GF,81.36,5.38,-52.96,91,88,11.41
32,Ponta do Sol,BR,87.93,-20.63,-46,70,0,4.36
33,Lynn Haven,US,60.08,30.25,-85.65,92,90,8.05
34,Half Moon Bay,US,53.92,37.46,-122.43,87,90,13.87
35,Biak,ID,78.3,-0.91,122.88,97,32,3.31
36,Mar del Plata,AR,85.45,-46.43,-67.52,30,0,2.53
